condition,i,j,cosine
sparse,9,11,0.10115122050046921
sparse,9,12,0.8971879482269287
sparse,9,13,0.8688153028488159
sparse,9,14,0.8274377584457397
sparse,9,15,0.9218813180923462
sparse,9,16,0.9329885244369507
sparse,9,17,0.912895679473877
sparse,9,18,0.6394866704940796
sparse,9,19,0.8963240385055542
sparse,9,20,0.8777585625648499
sparse,9,21,0.8997802734375
sparse,9,22,0.8859363794326782
sparse,9,23,0.9144657850265503
sparse,9,24,0.10115122050046921
sparse,9,25,0.8935337066650391
sparse,9,26,0.9255411624908447
sparse,9,27,0.8998377919197083
sparse,9,28,0.9067239761352539
sparse,9,29,0.868463397026062
sparse,10,11,0.0888502448797226
sparse,10,12,0.890765905380249
sparse,10,13,0.8807432651519775
sparse,10,14,0.829743504524231
sparse,10,15,0.8956618309020996
sparse,10,16,0.9190317392349243
sparse,10,17,0.9314818382263184
sparse,10,18,0.6274496912956238
